state,state_name,Accessory Apartments Banned,No Flexible Zoning By Right,No Flexible Zoning By Permit,Affordable Incentive,Affordable Mandate,Zoning District Count,Permit Cap Or Phasing,Wetlands Restricted in Lot Size Calc,Longest Frontage Requirement,Highest Res Min Lot Size,Mean Res Min Lot Size,Lowest Res Min Lot Size,Mandatory Approval Steps,Distinct Approval Bodies,Public Hearing Requirements,Max Review Waiting Time,Multifamily Not Allowed,No Mixed-Use Buildings,No Conversion to Multifamily,Townhouses Not Allowed,Age-Restricted Provisions,First_PC,Second_PC,Third_PC,Overall_Index
32,NV,0.33351027290326607,0.0,0.6924641585854351,0.2599851906040628,0.0,6.821377273822162,0.5266613733484401,0.01929459100195377,21.717432710922374,38313.83380467656,15330.95921951807,3188.2205083369763,4.819057729880186,2.438900090105361,0.25090774460036935,275.8631067614706,1.0,0.6840223568350715,0.019370422246210668,0.6939272555334505,0.312585310149789,-0.044062859008820975,-0.3327108981755146,0.42944688862646296,0.6805381082739521
33,NH,0.44140373470701866,0.0,1.0,0.0,0.0,18.63457823567289,0.5585962652929813,0.0,72.64678335187028,79247.17321313587,25892.49274132178,3659.170520400398,4.1638178305918165,1.7089211496809693,0.2675174149739507,158.53260551425393,1.0,1.0,0.7324825850260492,0.5585962652929813,0.8612070479423989,1.2822351358796675,0.25157236126687293,-0.4629699885234364,-0.21716933657050086
34,NJ,0.12242570009571875,0.14736454645038283,0.7205232196326039,0.6376912734129856,0.37431201311826395,17.89106118686427,0.31648776217172525,0.11736463485560882,83.36168560369116,55881.968193674955,24108.215225394044,7935.410838105653,4.504929127137698,2.837603886186576,0.5681672605443994,217.8236066599675,0.9493079076331483,0.6397272725567943,0.17894557211709888,0.9448520163490731,0.7276521634768007,1.3414375848451203,0.11142742991995834,1.0924580507792865,4.207849677718092
35,NM,0.8506980822666605,0.5686105923260298,0.9488224843984877,0.6357084832748751,0.08482325878012117,7.190406778116886,0.00789565587087566,0.0063582805690945805,43.132183908045974,26810.22882218072,11529.402722916708,3883.1028409177184,4.440930624516011,2.6764014789170805,0.15176931019298806,170.30189495740902,0.9926243945398503,0.7554548353300232,0.0,0.9564429311104026,0.6156447865895321,0.9899747988743007,-0.9699599922862723,0.11953618419444703,-5.242105639799075
36,NY,0.12417156024004954,0.026465288258612784,0.24648188101415508,0.8226871864789082,0.052206538507582535,7.276634622539207,0.05824942421116887,0.057180183001260404,50.5721496470685,20913.23883426221,12942.114503165009,2566.2082021395627,4.757779574948738,3.5023915907733683,0.09836583488552794,186.6551123792377,0.9872966616358658,0.22540566603742448,0.6664690591810024,0.930135995423313,0.9140992941021484,0.559807610938882,0.22750516003340138,0.7046914276966889,2.731219595508904
37,NC,0.7430223581816177,0.3396005446899918,0.9625046150010309,0.19441500966153463,0.03003586515086858,16.628582319631374,0.2772620697260727,0.021591012615135286,72.79677213642182,45795.54433038133,19867.21133325367,7288.655706538677,3.85734372527678,3.561150561711554,0.22247781203400477,219.466552630191,0.992981602328358,0.8038240977373309,0.15734516371865995,0.9063538375231949,0.30161728815347216,0.6306823581421632,-0.8173611791058826,-0.7344388934222966,-3.9877620371359357
38,ND,0.11695425473302619,0.5194391433841437,0.9862181304247147,0.0,0.0,21.30976468615505,0.0,0.0,116.99286153453053,227339.20327059895,47750.10635834459,4861.742935394492,3.3943642853150426,2.7013901642485845,0.4913963125913268,79.25682505968683,1.0,0.82557870277953,0.028721543952665747,0.9891006651388966,0.07270215671087618,0.2149061862625026,-0.7604306464722356,-0.8663131764327038,-3.885728606295686
39,OH,0.1499095516718573,0.14442997027930882,0.9422423796257273,0.15748100721944597,0.0,13.640554786235434,0.12916698594972112,0.006455219183255702,78.56257525957713,56683.376021477714,16227.614023026374,6483.227367392625,4.194876464825042,3.8413227075932808,0.15644824056792245,196.60496419012486,0.9946575962912081,0.8263925758479702,0.13817932031023367,0.9125712913448749,0.5797932824669816,0.1365963299323102,-0.7309543408602289,-0.5334581085644061,-1.5871595713337756
40,OK,0.33075325478528134,0.07288399780193605,0.7461518210291201,0.0,0.0,23.844553836896132,0.07418047943702819,0.0180901498736949,99.34757513011829,95389.22841060336,34228.4638233816,4713.186398748023,4.513189428398903,2.290160111825459,0.6860477264037208,140.29369644569715,0.9938811499301091,0.7753085542714944,0.00856033079608778,0.9667574168987658,0.15430325342716197,-0.06631871386756631,-0.6750752346031061,-0.06332862499423265,-1.5774499671521711
41,OR,0.9362764837070995,0.30659150043365135,0.9361680708710197,0.5509695205055136,0.0,17.915739995043985,0.5574665468962954,0.007635361169619626,32.02457099492008,10716.733830999876,6370.628944530978,3848.0617023912773,3.886871205550737,2.7358443811175817,0.24254274563251146,224.09330473299468,0.9911178912154628,0.8961559905835708,0.19862005947218436,0.9715338867550489,0.22514248544170487,1.051838842439345,-1.366163324045484,-0.09556137527790322,-5.167397064837627
42,PA,0.20122717196369214,0.12033306473274241,0.49477675529521714,0.453973576838817,0.0,19.46053427888457,0.09666824354984856,0.06263167818466507,70.80657526530939,29337.50034214025,13147.184768634483,5345.742732714443,4.396734164018033,3.105644422004802,0.4472836378839674,210.0954004680498,0.9938964494088135,0.8196807559008946,0.33442557810611023,0.9967271234998513,0.41989457547363157,0.29899571442511064,-0.700973723195764,0.26035091108928776,-1.2036379124307668
44,RI,0.5853737739775045,0.2268705245783641,0.6858652171574894,0.29771611296574374,0.1699346810790239,16.57282914903387,0.5191385679478111,0.14270260655174838,123.24834427497652,70533.47001079685,32580.707986299687,10983.38756582567,4.998494231334053,3.0878268531503243,0.24238325121930032,297.26741251856356,0.9945250416775255,0.6582815208263526,0.14273570036858238,0.4907130476509595,0.40096675312426316,0.9833786121519598,0.7385209971662932,-0.25856528135090895,3.7153626940977946
45,SC,0.611905715606224,0.20398295075232373,0.9487742001746007,0.5254906794022492,0.0,19.966696451496944,0.15890925897396396,0.04768859446412982,63.042972320649106,51964.0163303035,13488.423876820896,4690.248641709033,4.20898063986032,3.002721717249525,0.12125096287166846,190.00937503209573,0.9751902634416885,0.8322908642736097,0.09063010321984286,0.9807199712422329,0.16949417141683357,0.974485924562944,-0.7368042931688136,-0.35403319482810913,-1.7517548241013303
46,SD,0.03539609767851821,0.003969537288920172,0.8546806932105694,0.007343009873114311,0.0,20.949810083639292,0.04869975459889284,0.0,76.08187012130551,44368.51078940526,16349.377556261534,5388.529559102352,3.4411449515221846,2.110386110424157,0.05136302242851979,128.6716571232903,1.0,0.8435456972371767,0.5363060475203074,0.8999562463142275,0.083696362102967,-0.6485145729210153,-1.324246293698891,-0.11171105590355075,-6.654686521065156
47,TN,0.7256840485265958,0.09051176479495407,0.9883432652347659,0.45193799410005137,0.0,10.743659207072229,0.13566440497379711,0.037475548801220185,33.63430504909512,31183.137407133625,11569.849946120672,4456.646100816714,3.732811891301086,3.6401857258685077,0.4778173769043027,149.04652094371647,0.9973927898387632,0.9388847362574283,0.5693120076206523,0.9973927898387632,0.8601852578371169,1.1873131160489505,-1.103263667840445,-0.006411043256903303,-3.918663231474422
48,TX,0.4045433578193577,0.024056225235673644,0.6907857962728392,0.48666242332569204,0.0,29.66726718992856,0.14404309558498418,0.010723003479323277,50.087550758276606,23940.406139648727,11279.868081673994,4656.148491260021,3.730852749293863,3.1800302589946563,0.20012692451082745,185.76240865559583,0.995044615707523,0.6165130974584528,0.15895074826883474,0.8169964421174192,0.6597640932403305,0.6157914640489389,-1.012746779947144,0.5948427774581958,0.49650773900328404
49,UT,0.9434957275023227,0.12123948232769337,0.6907522998207252,0.5103652233083396,0.01928054541409859,36.37178973815412,0.32933694500058885,0.06750938902628928,73.59183449142229,33864.54930318376,14515.446503983025,5846.796477315851,4.428927360996611,3.4611811198785642,0.21143171200879363,234.6276057001531,0.9929467802509847,0.9448723484997187,0.11561260942959212,0.991894685876549,0.8513511037830906,1.8804617671110653,-1.3053032159428894,0.12086523435303016,1.2118687969274708
50,VT,1.0,0.4454269833249116,1.0,0.0,0.0,15.991157150075797,0.0,0.0,200.0,159591.60181910056,59113.75063163214,9331.859525012633,5.109146033350177,2.5545730166750884,0.0,126.68140474987368,1.0,1.0,0.4454269833249116,0.5545730166750884,0.4454269833249116,0.8158838856428698,0.7121150159853227,-1.8232672593068295,-4.205989642162672
