county_name,"senate totalvotes, 2020","senate dem votecount, 2020","senate rep votecount, 2020",dem_pct_senate_2020,rep_pct_senate_2020,state,"senate totalvotes, 2024","senate dem votecount, 2024","senate rep votecount, 2024"
berrien,81119.0,34777.0,44801.0,0.4287158372267903,0.5522873802684944,michigan,83160.0,35983.0,44819.0
bertie,9694.0,5825.0,3597.0,0.6008871466886734,0.3710542603672375,north carolina,,,
bexar,752935.0,411328.0,320095.0,0.546299481362933,0.4251296592667362,texas,744090.0,422903.0,303262.0
bibb,9630.0,2244.0,7320.0,0.23302180685358256,0.7601246105919003,alabama,,,
bibb,139927.0,84366.0,52977.0,0.6029286699493307,0.3786045580910046,georgia,,,
bienville,6814.0,2809.0,3840.0,0.41223950689756383,0.5635456413266804,louisiana,,,
big horn,4793.0,2687.0,2106.0,0.5606092217817651,0.4393907782182349,montana,4453.0,2805.0,1580.0
big horn,5784.0,756.0,4887.0,0.13070539419087138,0.8449170124481328,wyoming,5664.0,703.0,4922.0
big stone,2948.0,,1637.0,,0.555291723202171,minnesota,2805.0,1225.0,1516.0
billings,,,,,,north dakota,650.0,117.0,529.0
bingham,19835.0,4313.0,14644.0,0.2174439122762793,0.7382908999243761,idaho,,,
black hawk,66013.0,34963.0,29222.0,0.5296381015860512,0.4426703831063578,iowa,,,
blackford,,,,,,indiana,4821.0,1109.0,3554.0
bladen,16881.0,7280.0,8967.0,0.4312540726260293,0.5311889106095611,north carolina,,,
blaine,13307.0,8739.0,4226.0,0.6567220260013527,0.31757721499962427,idaho,,,
blaine,3135.0,1792.0,1343.0,0.5716108452950558,0.42838915470494415,montana,3057.0,1814.0,1192.0
blaine,291.0,35.0,222.0,0.12027491408934708,0.7628865979381443,nebraska,291.0,nan,227.0
blaine,291.0,35.0,222.0,0.12027491408934708,0.7628865979381443,nebraska,290.0,29.0,261.0
blaine,3886.0,751.0,2987.0,0.1932578486875965,0.7686567164179104,oklahoma,,,
blair,,,,,,pennsylvania,64723.0,18445.0,44741.0
blanco,7408.0,1816.0,5457.0,0.2451403887688985,0.7366360691144709,texas,8497.0,2071.0,6243.0
bland,3386.0,732.0,2651.0,0.21618428824571767,0.7829297105729475,virginia,3418.0,709.0,2707.0
bleckley,11257.0,2514.0,8538.0,0.22332770720440615,0.758461401794439,georgia,,,
bledsoe,5473.0,898.0,4460.0,0.16407820208295268,0.8149095560021926,tennessee,6061.0,897.0,5061.0
blount,27664.0,3290.0,24163.0,0.11892712550607287,0.8734456333140543,alabama,,,
blount,64679.0,15950.0,47391.0,0.24660245210964918,0.732710771656952,tennessee,68377.0,17610.0,49499.0
blue earth,35326.0,,15040.0,,0.42574874030459153,minnesota,35699.0,19135.0,15185.0
boise,4791.0,1247.0,3323.0,0.26027969108745563,0.6935921519515759,idaho,,,
bolivar,13749.0,9330.0,4317.0,0.6785948068950469,0.3139864717433995,mississippi,10301.0,6200.0,4101.0
bollinger,,,,,,missouri,6105.0,750.0,5244.0
bon homme,2990.0,834.0,2156.0,0.27892976588628765,0.7210702341137124,south dakota,,,
bond,8232.0,2714.0,5061.0,0.3296890184645287,0.6147959183673469,illinois,,,
bonner,27021.0,8079.0,17964.0,0.2989896746974575,0.6648162540246475,idaho,,,
bonneville,53028.0,13913.0,36490.0,0.2623708229614543,0.6881270272308969,idaho,,,
boone,16807.0,,13753.0,,0.8182899982150295,arkansas,,,
boone,25176.0,10090.0,13579.0,0.4007785192246584,0.5393628852875755,illinois,,,
