ufips,name,cbsa,cbsaname,cbsa_weight,wrluri08
86440.0,"Town of Woodside, CA",41860,"San Francisco County, CA",0.003388038678842167,0.96514624
10046.0,"Camarillo City, CA",37100,"Ventura County, CA",0.11461083880347063,1.0671834
41124.0,"Lemon Grove City, CA",41740,"San Diego County, CA",0.015253941581040008,0.028504541
66140.0,"San Fernando City, CA",31100,31100,0.0032601077313142175,0.74564886
2462.0,"City of Arcadia, CA",31100,31100,0.00734008468753796,
22678.0,"Encinitas City, CA",41740,"San Diego County, CA",0.03551417316327374,0.7067765
3820.0,"Banning City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.025978149776238624,2.010835
4030.0,"Barstow City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.023284633949765876,0.16960062
22412.0,"El Segundo City, CA",31100,31100,0.0022181848266915995,1.0046059
15044.0,"City of Compton, CA",31100,31100,0.012934868957891706,0.26643604
61026.0,"Ripon City, CA",44700,"San Joaquin County, CA",0.08716270199221669,1.2443802
59500.0,"Rancho Mirage City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.014607609981554434,1.8975253
54652.0,"Oxnard City, CA",37100,"Ventura County, CA",0.34207952900260435,0.84067994
67000.0,"San Francisco City, CA",41860,"San Francisco County, CA",0.4917043062655293,1.9478745
58072.0,"Pomona City, CA",31100,31100,0.02067976926339883,0.4521146
19612.0,"Dos Palos, CA",32900,"Merced County, CA",0.04625357175311235,0.23926534
47486.0,"Millbrae City, CA",41860,"San Francisco County, CA",0.013115356006773545,0.015558564
83612.0,"Waterford City, CA",33700,"Stanislaus County, CA",0.1667108082729396,0.46617916
55520.0,"Paradise Town, CA",17020,"Butte County, CA",0.28784443669340776,1.5149367
83850.0,"Weed City, CA", , ,0.0025901846093631087,0.29755214
57456.0,"Pittsburg, CA",41860,"San Francisco County, CA",0.0359371389684587,0.12437956
49278.0,"City of Morgan Hill, CA",41940,"San Benito County, CA",0.03139014291888292,0.32541683
40438.0,"Larkspur City, CA",41860,"San Francisco County, CA",0.0076053618624084066,1.0997084
62546.0,"Rohnert Park City, CA",42220,"Sonoma County, CA",0.5699249743617423,1.0254284
56938.0,"Piedmont, CA",41860,"San Francisco County, CA",0.006933071676135914,-0.37625062
33308.0,"Hercules City, CA",41860,"San Francisco County, CA",0.01233671483058224,0.83304876
68224.0,"San Marino, CA",31100,31100,0.001790956313947655,
17946.0,"Dana Point City, CA",31100,31100,0.004857510713225351,0.614424
69084.0,"Santa Clara City, CA",41940,"San Benito County, CA",0.09575415482535982,0.04782786
38562.0,"Kingsburg City, CA",23420,"Fresno County, CA",0.018602553680268228,0.6964219
16322.0,"Corning, CA",39780,"Tehama County, CA",1.0,0.73234355
40256.0,"La Palma City, CA",31100,31100,0.002131715325245691,0.0899437
69196.0,"Santa Maria City, CA",42060,42060,0.952886733701739,0.5812226
50734.0,"City of Needles, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.005325289169817187,0.5104298
48816.0,"Montebello, CA",31100,31100,0.008598527223781132,-0.729998
72506.0,"Solana Beach City, CA",41740,"San Diego County, CA",0.007945296884995515,-0.050118893
58296.0,"Port Hueneme City, CA",37100,"Ventura County, CA",0.04386484527325921,-0.1309037
13014.0,"Chico City, CA",17020,"Butte County, CA",0.6534923264736658,0.7923766
31260.0,"Gridley City, CA",17020,"Butte County, CA",0.0586632368329264,0.38309366
85922.0,"Windsor Town, CA",42220,"Sonoma County, CA",0.3069034382252928,1.0201807
7218.0,"Blythe City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.013401426471869132,0.9352934
4758.0,"Beaumont City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.01255136478451322,1.5013108
58520.0,"Poway City, CA",41740,"San Diego County, CA",0.0294108824672721,0.89003426
13756.0,"Claremont City, CA",31100,31100,0.004703664176252791,1.1472263
70364.0,"Sausalito City, CA",41860,"San Francisco County, CA",0.0046401949768148515,0.019412445
16742.0,"Covina City, CA",31100,31100,0.00647995526275522,0.2525967
21712.0,"El Cajon City, CA",41740,"San Diego County, CA",0.05807553510922564,0.8550116
16350.0,"Corona City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.13778055618951854,0.44562107
16224.0,"City of Corcoran, CA",25260,"Kings County, CA",0.4962927365096801,0.1758201
2042.0,"Anderson City, CA",39820,"Shasta County, CA",0.5003882418191903,0.1159956
80854.0,"Tustin City, CA",31100,31100,0.009339259560967362,0.19135281
25380.0,"Fountain Valley City, CA",31100,31100,0.007606272400789044,0.084341034
36770.0,"Irvine City, CA",31100,31100,0.019794183217390415,1.5615048
44028.0,"Los Banos City, CA",32900,"Merced County, CA",0.26119485869488396,0.8054707
39290.0,"City of La Habra, CA",31100,31100,0.008159123805233605,-0.53132415
42202.0,"Lodi City, CA",44700,"San Joaquin County, CA",0.4896695102359905,0.24225472
394.0,"Agoura Hills City, CA",31100,31100,0.0028413186419113936,0.8575289
18506.0,"Del Mar City, CA",41740,"San Diego County, CA",0.0026867946704865796,0.9393659
86300.0,"Woodlake City, CA",47300,"Tulare County, CA",0.042706888580674986,0.26179278
36084.0,"Huron City, CA",23420,"Fresno County, CA",0.012752223449045707,1.4544542
16462.0,"Corte Madera Town, CA",41860,"San Francisco County, CA",0.0057606786206023395,0.96186405
85684.0,"Willows,  CA", , ,0.005409989345278219,0.7499489
39710.0,"Lakeport, CA",17340,"Lake County, CA",1.0,0.508773
56924.0,"Pico Rivera City, CA",31100,31100,0.008775340060337726,0.20839474
36000.0,"Huntington Beach City, CA",31100,31100,0.026230557851416897,0.37997067
16378.0,"Coranado City, CA",41740,"San Diego County, CA",0.014753190147807377,0.32141283
81134.0,"Ukiah City, CA",46380,"Mendocino County, CA",1.0,-0.07309139
44826.0,"McFarland, CA",12540,"Kern County, CA",0.032548333496898466,1.031166
73220.0,"South Pasadena City, CA",31100,31100,0.0033608274065984114,-0.0888791
5290.0,"City of Benicia, CA",46700,"Solano County, CA",1.0,0.8613733
70882.0,"Selma City, CA",23420,"Fresno County, CA",0.039320366752813946,2.2628512
70686.0,"Seal Beach, CA",31100,31100,0.0033421499942860953,0.31759992
43224.0,"Los Alamitos City, CA",31100,31100,0.0015960194698879991,0.013469951
59444.0,"Rancho Cordova, CA",40900,"Placer County, CA",0.28134325307607405,0.27195954
65042.0,"San Buenaventura City, CA",37100,"Ventura County, CA",0.20263972193161944,3.5920632
9066.0,"City of Burlingame, CA",41860,"San Francisco County, CA",0.017825185560320953,0.4434674
41936.0,"City of Live Oak, CA",49700,"Sutter County, CA",0.14490427338497686,0.5648359
14260.0,"City of Coachella, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.025054217617997053,0.7035718
10928.0,"Canyon Lake, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.010972521287374875,-1.0130428
58240.0,"Porterville City, CA",47300,"Tulare County, CA",0.25437278471259056,0.28284937
22594.0,"Emeryville City, CA",41860,"San Francisco County, CA",0.004356592337031351,-0.6361815
43000.0,"Long Beach City, CA",31100,31100,0.06385212359410967,0.5247282
62000.0,"Riverside City, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.2813318294628514,1.2394909
68000.0,"San Jose City, CA",41940,"San Benito County, CA",0.8371793024870019,0.16194157
46898.0,"Merced City, CA",32900,"Merced County, CA",0.6451166688543128,0.5502324
30994.0,"Greenfield, CA",41500,"Monterey County, CA",0.21104271841403485,0.2541836
10345.0,"Campbell,CA",41940,"San Benito County, CA",0.03567639976875541,0.17133357
2868.0,"City of Arroyo Grande, CA",42020,"San Luis Obispo County, CA",0.1899642865703123,0.90926963
42370.0,"City of Loma Linda, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.020596630845001008,0.9886416
77364.0,"City of Susanville, CA",45000,"Lassen County, CA",1.0,0.23636684
23616.0,"City of Farmersville, CA",47300,"Tulare County, CA",0.056101351004263625,0.64049727
13210.0,"City of Chino, CA",40140,"Riverside-San Bernardino-Ontario, CA",0.07405569833504778,1.0593358
45358.0,"Mammoth Lakes City, CA", , ,0.00616930135467177,-0.12475605
39003.0,"La Canada Flintridge City, CA",31100,31100,0.0028110197286047474,0.87021565
70588.0,"Scotts Valley City, CA",42100,"Santa Cruz County, CA",0.5315622373704361,0.9510415
85586.0,"Williams City, CA", , ,0.0031920676683554763,-0.66349053
69000.0,"Santa Ana City, CA",31100,31100,0.04675952430429406,-0.6701362
68084.0,"San Leandro City, CA",41860,"San Francisco County, CA",0.05029642173231836,0.75940835
72646.0,"Sonoma City, CA",42220,"Sonoma County, CA",0.12317158741296486,2.3007917
11040.0,"Capitola City, CA",42100,"Santa Cruz County, CA",0.46843776262956394,0.49105436
40130.0,"City of Lancaster, CA",31100,31100,0.016424778036248568,0.2174344
53476.0,"Ojai, CA",37100,"Ventura County, CA",0.015786926689785485,0.071427986
3302.0,"Avenal City, CA",25260,"Kings County, CA",0.5037072634903199,-0.68698215
884.0,"Alhambra City, CA",31100,31100,0.011871086563303561,0.3828311
73935.0,"Sterling City, CO",4454,4454,1.0,-1.0692213
22200.0,"Town of Eagle, CO",2078,2078,0.3510071775874045,0.49346817
84440.0,"Wheat Ridge City, CO",1974,1974,1.8384617223077107e-06,0.70286655
84440.0,"Wheat Ridge City, CO",9999,9999,0.10084788091057569,0.70286655
51745.0,"Mortrose City, CO",3394,3394,1.0,-0.43205914
41835.0,"Lafayette City, CO",1450,1450,0.7985035998305962,3.7590277
41835.0,"Lafayette City, CO",9999,9999,0.019084215074323643,3.7590277
69645.0,"Sheridan City, CO",1974,1974,0.00514769282246159,-1.15018
51635.0,"Monte Vista City, CO",9999,9999,0.013878036299231178,-0.083344035
83835.0,"Wesminster City, CO",1974,1974,0.05278591297089899,0.8922934
83835.0,"Wesminster City, CO",9999,9999,0.13334436467152658,0.8922934
65190.0,"Rocky Ford City, CO",9999,9999,0.013133420971186758,-0.57867604
16000.0,"Colorado Springs City, CO",1782,1782,0.9595917965789831,0.30599856
30780.0,"Glenwood Springs City, CO",9999,9999,0.023705120073051974,0.9069816
56970.0,"Palisade Town, CO",2430,2430,0.2847521254278459,0.2123236
85485.0,"Windsor, CO",2266,2266,0.00445141065830721,1.7520305
85485.0,"Windsor, CO",9999,9999,0.02945367297597926,1.7520305
39855.0,"Johnstown Town, CO",9999,9999,0.011726925351547299,0.060032908
10600.0,"Burlington City, CO",9999,9999,0.011270350520771091,-0.94352686
