cbsa23,cbsaname23,metro_micro_code,new_permits_total
33140,"michigan city-la porte, in",2,216
33180,"middlesborough, ky",5,44
33220,"midland, mi",2,320
33260,"midland, tx",2,1509
33300,"milledgeville, ga",5,202
33340,"milwaukee-waukesha, wi",2,3930
33380,"minden, la",5,36
33420,"mineral wells, tx",5,27
33460,"minneapolis-st. paul-bloomington, mn-wi",2,14828
33500,"minot, nd",4,135
33540,"missoula, mt",4,777
33580,"mitchell, sd",5,74
33620,"moberly, mo",5,25
33660,"mobile, al",2,1678
33700,"modesto, ca",2,923
33740,"monroe, la",2,385
33780,"monroe, mi",2,264
33860,"montgomery, al",2,773
33900,"monticello, in",5,47
33910,"monticello, ny",5,739
33940,"montrose, co",5,271
33980,"morehead city, nc",5,935
34020,"morgan city, la",5,37
34060,"morgantown, wv",4,25
34100,"morristown, tn",2,552
34140,"moscow, id",5,199
34180,"moses lake, wa",5,559
34220,"moultrie, ga",5,94
34340,"mount airy, nc",5,243
34380,"mount pleasant, mi",5,72
34420,"mount pleasant, tx",5,53
34460,"mount sterling, ky",5,56
34500,"mount vernon, il",5,6
34540,"mount vernon, oh",5,195
34580,"mount vernon-anacortes, wa",2,561
34260,"mountain home, ar",5,47
34300,"mountain home, id",5,129
34620,"muncie, in",2,171
34660,"murray, ky",5,81
34680,"murrells inlet, sc",5,323
34700,"muscatine, ia",5,65
34740,"muskegon-norton shores, mi",2,438
34780,"muskogee, ok",5,58
34820,"myrtle beach-conway-north myrtle beach, sc",2,7369
34860,"nacogdoches, tx",5,35
34880,"nantucket, ma",5,262
34900,"napa, ca",2,427
34940,"naples-marco island, fl",2,3520
34980,"nashville-davidson--murfreesboro--franklin, tn",2,19947
35020,"natchez, ms-la",5,33
35060,"natchitoches, la",5,95
35100,"new bern, nc",5,631
35220,"new castle, in",5,47
35300,"new haven, ct",2,1059
35340,"new iberia, la",5,94
35380,"new orleans-metairie, la",2,1627
35420,"new philadelphia-dover, oh",5,244
35580,"new ulm, mn",5,41
35620,"new york-newark-jersey city, ny-nj",2,58580
35140,"newberry, sc",5,155
35440,"newport, or",5,287
35460,"newport, tn",5,13
35660,"niles, mi",2,397
35700,"nogales, az",5,340
35740,"norfolk, ne",5,293
35820,"north platte, ne",5,69
35840,"north port-bradenton-sarasota, fl",2,14938
35900,"north wilkesboro, nc",5,134
35940,"norwalk, oh",5,40
35980,"norwich-new london-willimantic, ct",2,487
36020,"oak harbor, wa",5,402
36100,"ocala, fl",4,7071
36180,"ocean pines, md",5,354
36220,"odessa, tx",2,1004
36260,"ogden, ut",2,3287
36340,"oil city, pa",5,42
36380,"okeechobee, fl",5,18
