hud_id,project,proj_cty,proj_st,proj_zip,fips2020,yr_pis,n_units,li_units
CAA20220014,COLISEUM PLACE,OAKLAND,CA,94621,06001408800,2022,59.0,58.0
CAA20220015,DAHLIA APARTMENTS,LOS ANGELES,CA,90061,06037241400,2022,56.0,55.0
CAA20220016,FIRST POINT II,SANTA ANA,CA,92705,06059075403,2022,206.0,204.0
CAA20220019,HUNTINGTON POINTE APARTMENTS,HUNTINGTON BEACH,CA,92648,06059099418,2022,104.0,103.0
CAA20220022,MISSOURI PLACE,LOS ANGELES,CA,90025,06037267600,2022,74.0,73.0
CAA20220023,MURPHY STATION APARTMENTS (F.K.A. ATRIA),SUNNYVALE,CA,94087,06085508205,2022,108.0,22.0
CAA20220025,NORTH SAN PEDRO APARTMENTS,SAN JOSE,CA,95110,06085500200,2022,135.0,134.0
CAA20220028,ROSE APARTMENTS,VENICE,CA,90291,06037273200,2022,35.0,34.0
CAA20220030,TWIN RIVERS BLOCK B AND E,SACRAMENTO,CA,95811,06067001102,2022,123.0,122.0
CAA20220034,WALNUT STUDIOS,SAN CARLOS,CA,94070,06081609201,2022,24.0,23.0
COA20200002,APEX II,ENGLEWOOD,CO,80112,08035014014,2020,156.0,155.0
COA20200004,BUSTOP,BOULDER,CO,80304,08013013704,2020,53.0,53.0
COA20200005,CAESAR SQUARE,WHEAT RIDGE,CO,80033,08059010402,2020,108.0,108.0
COA20200006,CANOPY AT RED OAK PARK,BOULDER,CO,80304,08013012105,2020,41.0,41.0
COA20200007,CANYON POINTE,BOULDER,CO,80302,08013012201,2020,82.0,82.0
COA20200008,CASA DEL SOL,PUEBLO,CO,81001,08101000902,2020,154.0,153.0
COA20200009,CICLO APARTMENTS,BOULDER,CO,80301,08013012208,2020,38.0,38.0
COA20200011,CONNECTIONS AT 6TH,AURORA,CO,80010,08005007600,2020,68.0,68.0
COA20200012,DIAGONAL CROSSING,BOULDER,CO,80301,08013012701,2020,105.0,105.0
COA20200013,EIBER VILLAGE AT GARRISON STATION,LAKEWOOD,CO,80215,08059011101,2020,50.0,49.0
COA20200014,ELISABETTA,DENVER,CO,80216,08031001500,2020,91.0,90.0
COA20200015,EMERSON FLATS,DENVER,CO,80218,08031002708,2020,21.0,21.0
COA20200017,GLEN WILLOW APARTMENTS,BOULDER,CO,80302,08013012101,2020,34.0,34.0
COA20200019,LAKEVIEW ON THE RISE,FORT COLLINS,CO,80525,08069001708,2020,180.0,180.0
COA20200020,LARKRIDGE APARTMENTS,THORNTON,CO,80023,08001008526,2020,338.0,338.0
COA20200029,RESERVE AT NORTHGLENN RESYNDICATION,NORTHGLENN,CO,80233,08001008506,2020,260.0,260.0
COA20200032,SPRING CREEK GYPSUM,GYPSUM,CO,81637,08037000200,2020,150.0,150.0
COA20200036,VISTA EL RANCHO,EVERGREEN,CO,80439,08059009846,2020,55.0,54.0
COA20210002,30PEARL APARTMENTS,BOULDER,CO,80301,08013012208,2021,120.0,120.0
COA20210003,ALPINE VISTA APARTMENTS,COLORADO SPRINGS,CO,80922,08041005112,2021,242.0,242.0
COA20210005,CARAWAY,DENVER,CO,80221,08001009308,2021,116.0,116.0
COA20210006,CLARE GARDENS,DENVER,CO,80212,08031000503,2021,128.0,128.0
COA20210007,DENVER METRO VILLAGE,DENVER,CO,80204,08031000703,2021,210.0,210.0
COA20210008,EDGE II,LOVELAND,CO,80538,08069001715,2021,69.0,69.0
COA20210012,GATEWAY NORTH,DENVER,CO,80204,08031000800,2021,95.0,95.0
COA20210014,GOLDEN WEST SENIOR COMMUNITIES,BOULDER,CO,80303,08013012610,2021,253.0,253.0
COA20210020,MEADOWS TOWNHOUSES,FORT LUPTON,CO,80621,08123001905,2021,51.0,51.0
COA20210023,PANCRATIA HALL LOFTS,DENVER,CO,80236,08031015700,2021,68.0,68.0
COA20210024,RANGE VIEW APARTMENTS,AURORA,CO,80011,08001008308,2021,223.0,223.0
COA20210026,RENOVA V PARKVILLE APARTMENTS,LONGMONT,CO,80501,08013013308,2021,76.0,76.0
COA20210027,RENOVA V TERRY STREET APARTMENTS,LONGMONT,CO,80501,08013013302,2021,24.0,24.0
COA20210032,SAN JUAN APARTMENTS,MONTROSE,CO,81401,08085966401,2021,76.0,76.0
COA20210033,SHERIDAN STATION WEST,DENVER,CO,80226,08031000904,2021,133.0,133.0
COA20210036,ST. MARK VILLAGE,WESTMINSTER,CO,80031,08001009411,2021,216.0,215.0
COA20210037,STELLA,DENVER,CO,80216,08031001500,2021,132.0,131.0
COA20210039,TRADITIONS AT LAFAYETTE,LAFAYETTE,CO,80026,08013060801,2021,133.0,131.0
COA20211001,AVI AT OLDE TOWN,ARVADA,CO,80002,08059010405,2021,100.0,100.0
COA20211002,AUDREY,HIGHLANDS RANCH,CO,80129,08035014126,2021,134.0,134.0
COA20211003,BROOKSTONE LLLP,LOVELAND,CO,80537,08069001710,2021,72.0,71.0
COA20220004,APEX SOUTH,ENGLEWOOD,CO,80112,08035014014,2022,208.0,208.0
COA20220005,ATLANTIS APARTMENTS II,DENVER,CO,80223,08031002102,2022,84.0,84.0
COA20220006,AVENIDA DEL SOL,DENVER,CO,80219,08031004503,2022,80.0,79.0
COA20220010,CAPITOL SQUARE APARTMENTS,DENVER,CO,80203,08031002704,2022,103.0,103.0
COA20220011,CARE HOUSING AT SWALLOW ROAD,FORT COLLINS,CO,80526,08069001107,2022,84.0,84.0
COA20220012,CENTENNIAL CROSSING,CENTENNIAL,CO,80016,08005085000,2022,209.0,209.0
